index,name,bf_name,similarity
1531,b hassan,ben hassan,88.88888888888889
1538,gavin van peperzeel,van peperzeel,81.25
1538,g van peperzeel,van peperzeel,92.85714285714286
1538,van peperzeel gavin,van peperzeel,81.25
1565,g fonio,gi fonio,93.33333333333333
1574,a vangelova,g angelov,80.0
1586,t seyboth wild,seyboth wild,92.3076923076923
1588,vrba daniel,a daniell,80.0
1593,eduard guell bartrina,e guell batrina,83.33333333333334
1598,samantha murray sharan,samantha murray,81.08108108108108
1598,sharan samantha murray,samantha murray,81.08108108108108
1616,j clarke,z clarke,87.5
1616,j clarke,s clarke,87.5
1619,m fellin,p fellin,87.5
1623,r dutra silva,r da silva,86.95652173913044
1623,r dutra silva,dutra da silva,81.4814814814815
1626,michalis sakellaridis,michalis sakellaridi,97.5609756097561
1631,a suresh,a qureshi,82.35294117647058
1633,martina okalova,martina okalov,96.55172413793103
1637,z kolar,kolar,83.33333333333334
1638,s fayziev,fayziev,87.5
1643,tallon griekspoor,tallon griekspoo,96.96969696969697
1645,goncalo oliveira,go oliveira,81.4814814814815
1646,j munar,j imunda,80.0
1652,t jomby,jomby,83.33333333333334
1661,mora daniel,a daniell,80.0
1661,daniel mora,daniel merida,83.33333333333334
1664,m vernier,vernier,87.5
1665,alejandro mendoza,javier alejandro mendoz,80.0
1665,a mendoza,j mendoza,88.88888888888889
1668,jorge brian panta,jorge brian panta herre,85.0
1669,dusty h boyer,dusty boyer,91.66666666666666
1671,david nguyen,mai nguyen,81.81818181818181
1671,david nguyen,v nguyen,80.0
1671,david nguyen,edward nguyen,80.0
1672,r phillips,d phillips,90.0
1676,g hansson,e hakansson,80.0
1676,g hansson,t johansson,80.0
1677,a ayeni,o ayeni,85.71428571428572
1678,a neff,a neffa,92.3076923076923
1680,jason jung,ja jung,82.35294117647058
1681,mikhail kukushkin,mikhail kukshkin,96.96969696969697
1681,m kukushkin,kukushkin,90.0
1686,a parks,a parker,80.0
1688,c van nguyen,v nguyen,80.0
1694,e routliffe,routliffe,90.0
1698,m ito,c ito,80.0
1699,paige mary hourigan,paige hourigan,84.84848484848484
1716,maria jose portillo ramirez,maria portillo ramirez,89.79591836734694
1716,maria jose portillo ramirez,m j portillo ramirez,85.1063829787234
1716,maria jose portillo ramirez,maria jose portillo,82.6086956521739
1716,maria jose portillo ramirez,m portillo ramirez,80.0
1716,ramirez maria jose portillo,maria jose portillo,82.6086956521739
1721,d schaefer,b schafer,84.21052631578947
1736,a sutjiadi,a sutjadi,94.73684210526316
1742,kittirat kerdlaphee,kittirat kerdlapee,97.2972972972973
1747,navasirisomboon jirat,navasirisomboon,83.33333333333334
1747,j navasirisomboon,navasirisomboon,93.75
1747,jirat navasirisomboon,navasirisomboon,83.33333333333334
1750,darren polkinghorne,darren k polkinghorne,95.0
1770,b harris,harris,85.71428571428572
1772,daniil zarichanskiy,daniil zarichanskiyy,97.43589743589743
1772,d zarichanskiy,daniil zarichanskiyy,82.35294117647058
1774,evgenii tiurnev,evgeny tyurnev,82.75862068965517
1774,e tiurnev,e tyurnev,88.88888888888889
1777,dmitry myagkov,dmitry lelyakov,82.75862068965517
1780,denis matsukevitch,denis matsukevich,97.14285714285714
1783,s dzhanashia,shalva dzhanashiya,80.0
1783,shalva dzhanashia,shalva dzhanashiya,97.14285714285714
1802,yunseong chung,yun seong chung,96.55172413793103
1802,y chung,a chung,85.71428571428572
1802,y chung,y chiang,80.0
1802,y chung,s chuang,80.0
1804,farrukh dustov,furrukh dustov,92.85714285714286
1807,ekaterina simakova,katerina sinaikova,88.88888888888889
1807,ekaterina simakova,ekaterina makaro,82.35294117647058
1828,j sels,j seol,83.33333333333334
1831,g den heijer,g heijer,80.0
1835,a pisareva,al pisareva,95.23809523809523
1837,yulia starodubtsewa,yulia starodubtseva,94.73684210526316
1837,yulia starodubtsewa,yuliia starodubtseva,92.3076923076923
1837,yulia starodubtsewa,y starodubtseva,82.35294117647058
1837,y starodubtsewa,y starodubtseva,93.33333333333333
1837,y starodubtsewa,yulia starodubtseva,82.35294117647058
1837,y starodubtsewa,yuliia starodubtseva,80.0
1838,q gleason,gleason,87.5
1842,r safiullin,safiullin,90.0
1847,andrey kuznetsov,andrey kuznetov,96.7741935483871
1848,n chappell,ni chappell,95.23809523809523
1848,nick chappell,ni chappell,91.66666666666666
1851,leonid avramenko,d avramenko,81.4814814814815
1872,tom fawcett,tom fancutt,81.81818181818181
1876,m di giuseppe,m di guiseppe,92.3076923076923
1876,m di giuseppe,m giuseppe,86.95652173913044
1882,deborah chiesa,deborah chies,96.2962962962963
1883,pia schwarz,j schwarz,80.0
1888,gabric anna,gabric a,84.21052631578947
1889,g gatto monticone,giullia gatto monticone,85.0
1889,giulia gatto monticone,giullia gatto monticone,97.77777777777777
1892,dalma galfi,dalam galfi,90.9090909090909
1892,d galfi,galfi,83.33333333333334
1893,g radanovic,radanovic,90.0
1896,c oliveira,go oliveira,85.71428571428572
1896,cristian oliveira,christian oliveira,97.14285714285714
1899,martin soukal,martina okalov,81.4814814814815
1900,a watson,watson,85.71428571428572
1902,akgul amanmuradova,akqul amanmuradova,94.44444444444444
1902,a amanmuradova,akqul amanmuradova,87.5
1909,s lanca,s landau,80.0
1910,sanz llaneza fernandez almudena,sanz llaneza fernandez,83.01886792452831
1910,almudena sanz llaneza fernandez,a sanzllaneza fernandez,85.18518518518519
1910,almudena sanz llaneza fernandez,a sanz llaneza fernande,85.18518518518519
1910,almudena sanz llaneza fernandez,sanz llaneza fernandez,83.01886792452831
1910,a sanz llaneza fernandez,a sanzllaneza fernandez,97.87234042553192
1910,a sanz llaneza fernandez,a sanz llaneza fernande,97.87234042553192
1910,a sanz llaneza fernandez,sanz llaneza fernandez,95.65217391304348
1910,a sanz llaneza fernandez,a llaneza fernandez,88.37209302325581
1915,sara neto,a neto,80.0
1915,s neto,a neto,83.33333333333334
1919,sergio luis hernandez ramirez,sergio luis hernandez r,88.46153846153845
1919,ramirez sergio luis hernandez,sergio luis hernandez r,80.76923076923077
1921,juan pablo varillas,juan pablo varillas pat,90.47619047619048
1921,j pablo varillas,juan pablo varillas pat,82.05128205128204
1921,j pablo varillas,pablo juan varillas,80.0
1923,jorge montero,g montero,81.81818181818181
1923,j montero,g montero,88.88888888888889
1933,f delledera,f dell edera,95.65217391304348
1933,f delledera,f dellaposedera,84.61538461538461
